# 저장소 번역 사전(public/data/align.json)에서 **회수한 손질** — 낱말<TAB>글로스
#
# 왜 이 파일이 생겼나 (2026-08-23).
#   앞선 세션들이 창구·병원 말투를 훑으며 오역을 고칠 때, 고친 결과가
#   `align.json`에만 들어가고 **빌더(build_align_dict.py)에는 안 들어갔다.**
#   그래서 `bash ml/jobs/rebuild_data.sh`를 돌리면 417개 손질이 조용히
#   사라진다 — 실측에서 회귀 사례 240건 중 59건이 한꺼번에 깨졌다.
#   (`연락처`가 전화번호0을 잃고 530으로, `말씀`·`성함`·`써`가 통째로 증발.)
#
#   사전은 **빌더가 만든 것과 같아야 한다.** features.py ↔ landmarks.ts와
#   같은 부류의 어긋남이다 — 한쪽만 고치면 어느 날 조용히 되돌아간다.
#
# 앞으로 손으로 고칠 것은 여기에 적는다. 뜻이 분명한 교정은
# `SEED_OVERRIDES`(파이썬 안, 근거 주석과 함께)에, 활용형·파생형처럼
# 수가 많은 것은 이 파일에 둔다.
가까	가깝다1
가까운	가깝다1
가까워요	가깝다1
가까이	가깝다1
가야	가다
가족관계증명서	서류0
강한비	비0
강했	강
갯벌	바다1
거꾸	반대0
거꾸로	반대0
검사자	검사1
검진	검사1
계곡물을	계곡1
계곡물이	계곡1
계단씩	계단0
계산하시나요	계산
계셨던	대합
과일했	과일0
과장했	과장
관련자	사람1
관찰	보다0
구비하	준비1
구비하시기	준비1
구조물	건물1
구했	구
국민	사람1
금요일했	금요일
급수	물0
급수시	물0
기구	물건1
기상	날씨0
길과	길
길는	길다0
길도	길
길돼	길
길되	길
길되고	길
길되는	길
길되다	길
길된	길
길만	길
길에	길
길에서	길
길은	길
길의	길
길하	길
길하고	길
길하는	길
길하다	길
길하세요	길
길한	길
길할	길
길합니다	길
길해	길
길했다	길
길했습니다	길
끝나	끝1
끝나면	끝1
끝나요	끝1
끝난	끝1
끝납니다	끝1
끝났	끝1
나면	생기다1
나오시기	나오다0
나요	생기다1
난방기	난방1
날짜	날1
납니다	생기다1
났나요	생기다1
났습니다	생기다1
났어요	생기다1
낮아졌	낮다0
낮추	낮다1
낮추다	낮다1
내려져	내리다0
넘어졌	넘다0
놀이	게임1
농가	집1
다니	다니다1
다니시기	유괴0
닫혔	닫다1
닫혔다	닫다1
닫혔습니다	닫다1
닫혔어요	닫다1
담그	담다0
담그시	담다0
담근	담다0
답답했	답답
대기실	방1
대피령	도망1
도로가	도로0
도로는	도로0
도로를	도로0
도와주어야	산소마스크0
동반	겹치다1
되돌아	돌아오다1
되돌아가	돌아오다1
되돌아오	돌아오다1
되돌아와	돌아오다1
되므	엔진0
들으면서	듣다3
등본	서류0
등본을	서류0
떨어뜨리	떨어지다0
떨어뜨리고	떨어지다0
마감	끝1
마감됐어요	끝1
마감되	끝1
마감되었습니다	끝1
마치시기	해지다1
많아지	많다0
많아질	많다0
말씀	말하다
말씀드	말하다
말씀하	말하다
말씀해	말하다
말했	말0
맑아지겠고	밝다1
맙시다	손자0
망했	망0
매일했	매일
맨발	발0
맨발로	발0
먹인가요	먹
멀어졌	멀다
모시겠	안내1
모시겠습니다	안내1
모실	안내1
모으시기	청소1
목요일했	목요일0
무슨	무엇1
무시했	무시
문의합시다	묻다1
물렸	물다1
물류창고	창고0
물마시기	충분하다1
물어서	물다
물어야	물다
물었나요	물다
물었는데	물다
물었다	물다
물었습니까	물다
물었습니다	물다
물었어서	물다
물었어요	물다
물었지만	물다
물으니	물다
물으면	물다
물으세요	물다
미세먼지	먼지1
반가워요	안녕0
반갑다	안녕0
반갑습니다	안녕0
반대쪽	반대1
반대편	반대1
받다	받다0
받으세요	받다0
받으시	받다0
받으시기	받다0
발송	보내다2
발효 중	발표1
발효되	발표1
발효된	발표1
벌어졌	벌다2
보내려고요	보내다0
보내시기	재미1
보이면서	일년1
복잡했	복잡0
부족했	부족
분만실	방1
불씨	불1
비상시	비상1
비슷했	비슷0
뻔뻔했	뻔뻔
사리	사리다0
사인가요	사
사회적	사회1
살이	나이1
살이에요	나이1
살입니다	나이1
상담실	상담0
상상했	상상
상의하	상담0
상의하여	상담0
생성	생기다1
생성된	생기다1
서는	서
서서	서다1
서야	서다1
서야지	서다1
선정하	고르다0
성함	이름0
소중	중요1
소중하	중요1
솔직했	솔직
수상했	수상
수용금지	금지1
쉬었	쉬다1
쉬었다	쉬다1
쉬었어요	쉬다1
쉬우므	사다리0
시민	사람1
시인가	시0
시인가요	시0
시인지	시0
시일내	날1
시작하겠습니다	시작
시행중	하다1
식사시	식사
실외	밖1
써	쓰다
써서	쓰다
써요	쓰다
썼	쓰다
쏘였	쏘다0
씻으시기	바꾸다4
안됐	안
안에	안
안에서	안
않게	하지마1
않게끔	하지마1
않고	아니다1
않기	하지마1
않네요	아니다1
않는	아니다1
않다	아니다1
않도록	하지마1
않도록은	하지마1
않아	아니다1
않아요	아니다1
않았	아니다1
않았습니다	아니다1
않았어요	아니다1
않으니	아니다1
않으려	하지마1
않으려면	하지마1
않으며	아니다1
않으면	아니다1
않은	아니다1
않을	아니다1
알아두	알다
알아둬	알다
알아서했	알아서
야생조류	새2
약품	약1
약했	약
어느	무엇1
어느것	무엇1
어선	배1
어선을	배1
어선이	배1
없으며	없다
없으시기	오해1
여러	여러번1
여러분	모두2
연락	전화0
연락처	전화번호0
예방합시다	감싸다1
오니	오다
오르면서	오르다0
와이파	인터넷1
와이파이	인터넷1
외출	나가다0
외출시	나가다0
우리구	우리
우선	먼저0
우회했	우회0
울리다	소리0
울리면	소리0
울립	소리0
울립니다	소리0
원했	원
위급	급하다1
위기경보	경고1
위했	위
위험하므	나무1
유도했	유도
유사시	비상1
유입	들어오다1
유입되	들어오다1
유입되면서	평균1
의심시	의심
이동했	이동
이상했	이상
이용시	이용1
이제	지금1
이젠	지금1
이쪽	여기
익숙했	익숙
인감증명서	서류0
인월동	인월
일요일했	일요일
일입니까	일
일입니다	일
일찍	먼저0
일찍이	먼저0
일했	일
잃었	방황1
입었던	바꾸다4
있으므	렌즈0
자재	물건1
작업	일하다1
작업장	일하다1
잘못했	잘못0
재겠습니다	검사1
재다	검사1
재요	검사1
잽니다	검사1
저쪽	저기0
적은	경험0
적이	경험0
적있	경험0
적중했	적중
전원	모두2
전조등	전등0
전했	전
전화했	전화0
정비	고치다1
정지	멈추다1
정지하면	멈추다1
정했	정
조용했	조용0
존함	이름0
좌회전할게요	좌회전0
주민등록등본	서류0
중독됐	중독
증명서	서류0
지속	계속1
지참	가지다1
지참후	가지다1
지켜드립시다	부모1
지켜주	진구
진료실	진료
진화	끄다0
질서	순서0
질환	병1
집주변	주변0
집합금지	금지1
차단	막다0
차단하	막다0
차단할	막다0
차례	순서0
차례가	순서0
차례는	순서0
착용합시다	94
창구	장소1
창구로	장소1
창구에서	장소1
창피했	창피
철저했	철저0
초본	서류0
최대했	최대
축하했	축하
충분했	충분
충전기	충전0
충전기를	충전0
취급금지	금지1
취합시다	벨트1
칠했	칠
커서	크다1
커요	크다1
컸	크다1
탈의실	방1
탈출	나가다0
탈출하지	나가다0
통제됨	통제0
통제했던	되다1
파악했	파악0
파티금지	금지1
판별	알다
평가했	평가
포장할까요	포장0
피곤했	피곤
피하고	벗어나다0
피하는	벗어나다0
피하다	벗어나다0
피하면	벗어나다0
피하세요	벗어나다0
피한	벗어나다0
피할	벗어나다0
피해가	피해1
피해는	피해1
피해돼	피해0
피해되	피해0
피해되고	피해0
피해되는	피해0
피해되다	피해0
피해된	피해0
피해로	피해1
피해를	피해1
피해서	벗어나다0
피해하	피해0
피해하고	피해0
피해하는	피해0
피해하다	피해0
피해하세요	피해0
피해한	피해0
피해할	피해0
피해합니다	피해0
피해해	피해0
피해했다	피해0
피해했습니다	피해0
필요성	필요1
필요합니까	필요1
필요했	필요1
합했	합0
해지	해지0
혼잡했	혼잡0
확보	준비1
확인시	확인1
활용해주시기	사라지다2
회의	회의1
회의실	회의1
휴게실	방1
휴식	쉬다1
희미했	희미
# ── 통계 키가 복합어 분해를 가로막는 자리 (`-` = 사전에서 뺀다)
실외활동	-
도와주	-
